LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,MORTDUE_missing,VALUE_missing,REASON_missing,JOB_missing,YOJ_missing,DEROG_missing,DELINQ_missing,CLAGE_missing,NINQ_missing,CLNO_missing,DEBTINC_missing,DELINQ_nz,DEROG_nz,REASON_HomeImp,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,BAD
-1.5622992967131184,-1.1079195309958978,-1.0993714077379226,0.24023672552878333,-0.28097617572919464,-0.37594295909327274,-1.0180257854289565,-0.10287927582840527,-1.2308780795496463,0.10696269238285194,False,False,False,False,False,False,False,False,False,False,True,0,0,True,False,True,False,False,False,True
-1.544452575309328,-0.06928555195739358,-0.5827940268143613,-0.24193565505769565,-0.28097617572919464,1.4773407763872117,-0.6893500942984485,-0.7075740331630161,-0.7283893913764411,0.10696269238285194,False,False,False,False,False,False,False,False,False,False,True,1,0,True,False,True,False,False,False,True
-1.5266058539055372,-1.3984070738401473,-1.491970217239829,-0.6552262669889634,-0.28097617572919464,-0.37594295909327274,-0.35868001171434677,-0.10287927582840527,-1.1303803419150054,0.10696269238285194,False,False,False,False,False,False,False,False,False,False,True,0,0,True,False,True,False,False,False,True
-1.5266058539055372,-0.18759576964978447,-0.21638898782771068,-0.24193565505769565,-0.28097617572919464,-0.37594295909327274,-0.07148766020274862,-0.10287927582840527,-0.12540296556859482,0.10696269238285194,True,True,True,True,True,True,True,True,True,True,True,0,0,False,False,True,False,False,False,True
-1.5087591325017466,0.5828307790538837,0.18393869857346073,-0.7929898042993859,-0.28097617572919464,-0.37594295909327274,-1.0303910116825723,-0.7075740331630161,-0.7283893913764411,0.10696269238285194,False,False,False,False,False,False,False,False,False,False,True,0,0,True,True,False,False,False,False,False
-1.5087591325017466,-0.9977410843248752,-1.0765980389448668,0.03359141956314948,-0.28097617572919464,-0.37594295909327274,-0.9330726694870259,-0.10287927582840527,-1.3313758171842873,0.407248624595405,False,False,False,False,False,False,False,False,False,False,False,0,0,True,False,True,False,False,False,True
-1.4998357717998514,-0.5723272483197167,-0.7826193469653205,-0.5174627296785408,3.476581058405435,1.4773407763872117,-1.2246447272149008,-0.10287927582840527,-0.426896178472518,0.10696269238285194,False,False,False,False,False,False,False,False,False,False,True,1,1,True,False,True,False,False,False,True
-1.4998357717998514,-1.0458266436015202,-1.0288706853507716,0.3091184941839946,-0.28097617572919464,-0.37594295909327274,-1.0850449541417932,-0.7075740331630161,-1.3313758171842873,0.377326745261738,False,False,False,False,False,False,False,False,False,False,False,0,0,True,False,True,False,False,False,True
-1.4819890503960609,-0.9471642888393715,-0.9636984036928068,-0.7929898042993859,-0.28097617572919464,1.4773407763872117,0.44864959856625924,-0.10287927582840527,-0.9293848666457232,0.10696269238285194,False,False,False,False,False,False,False,False,False,False,True,1,0,True,False,True,False,False,False,True
-1.4819890503960609,-0.18759576964978447,-0.6909455465651665,0.9979361807361075,-0.28097617572919464,-0.37594295909327274,-0.7615470604024487,-0.7075740331630161,-0.8288871290110822,0.10696269238285194,True,False,False,False,False,False,False,False,False,False,True,0,0,True,False,False,False,True,False,True
