order_item_id,item_price,return
1,49.9,0
2,19.95,0
3,79.9,1
4,99.9,0
5,14.9,1
6,19.9,1
7,119.9,0
8,39.9,1
9,13.9,1
10,19.9,1
11,79.9,0
12,39.9,0
13,59.9,0
14,29.9,0
15,19.9,1
16,69.9,1
17,29.9,1
18,19.9,1
19,9.9,1
20,9.9,1
21,69.9,1
22,99.9,1
23,69.9,1
24,99.9,1
25,5.5,1
26,69.9,1
27,79.9,1
28,19.9,0
29,19.9,1
30,24.9,1
31,12.9,0
32,19.9,0
33,59.9,1
34,19.9,1
35,39.9,0
36,39.9,1
37,39.95,0
38,39.95,1
39,99.9,1
40,99.9,1
41,9.9,1
42,105,1
43,90,1
44,59.9,1
45,59.9,1
46,59.9,1
47,29.9,1
48,21.9,1
49,69.9,1
50,14.9,1
51,14.9,1
52,21.9,1
53,59.9,1
54,59.9,1
55,39.9,1
56,69.9,0
57,79.9,1
58,19.9,1
59,69.9,1
60,89.9,1
61,59.9,1
62,89.9,1
63,99.9,1
64,69.9,0
65,89.9,0
66,69.9,0
67,79.95,1
68,69.9,1
69,49.9,0
70,29.9,1
71,39.9,0
72,39.9,1
73,99.9,0
74,79.95,1
75,59.9,0
76,59.9,1
77,129.9,1
78,19.9,0
79,19.9,0
80,24.9,1
81,24.9,1
82,39.9,0
83,59.9,0
84,129.9,0
85,49.9,0
86,9.9,0
87,89.9,1
88,9.9,0
89,39.9,0
90,59.9,0
91,9.9,0
92,9.9,0
93,39.9,0
94,24.9,1
95,34.9,0
96,34.9,1
97,89.9,0
98,59.9,1
99,49.9,0
100,29.9,1
101,59.9,1
102,79.9,1
103,79.9,1
104,79.9,1
105,79.9,0
106,79.9,0
107,79.9,0
108,79.9,0
109,79.9,0
110,69.9,1
111,69.9,1
112,69.9,1
113,49.9,1
114,49.9,1
115,19.9,1
116,19.9,1
117,79.95,1
118,59.9,1
119,19.9,1
120,9.9,0
121,9.9,1
122,9.9,1
123,9.9,1
124,59.9,1
125,39.95,0
126,39.95,0
127,79.9,0
128,69.9,0
129,29.9,0
130,49.95,0
131,59.9,0
132,119.9,0
133,39.95,1
134,79.9,0
135,89.9,1
136,139.9,1
137,49.9,1
138,79.9,1
139,59.9,1
140,69.9,0
141,39.9,1
142,59.9,0
143,69.9,0
144,69.9,1
145,69.9,1
146,19.9,1
147,69.9,0
148,39.9,0
149,49.9,0
150,24.9,1
151,24.9,1
152,39.95,0
153,109.9,0
154,29.9,1
155,19.9,0
156,49.9,1
157,69.9,0
158,19.9,0
159,29.9,0
160,39.9,0
161,39.9,1
162,59.9,1
163,39.9,0
164,39.9,0
165,39.9,0
166,39.9,0
167,69.9,1
168,19.9,1
169,39.9,1
170,89.9,0
171,89.9,0
172,69.9,0
173,21.9,1
174,21.9,1
175,39.9,0
176,19.9,1
177,21.9,0
178,34.9,1
179,34.9,0
180,14.9,0
181,29.9,0
182,29.9,0
183,29.9,0
184,39.9,0
185,14.9,0
186,29.9,0
187,29.9,0
188,24.9,0
189,39.95,0
190,9.9,0
191,9.9,0
192,9.9,1
193,19.9,0
194,19.9,1
195,49.9,1
196,69.9,1
197,69.9,1
198,9.9,1
199,9.9,1
200,39.9,0
201,80,1
202,49.9,1
203,0,0
204,39.9,1
205,12.9,0
206,12.9,0
207,39.95,1
208,39.95,0
209,39.95,0
210,39.95,1
211,159.9,1
212,79.9,1
213,29.9,1
214,59.9,1
215,59.9,1
216,49.9,1
217,0,1
218,49.9,0
219,0,0
220,49.9,0
221,69.9,1
222,99.9,1
223,69.95,1
224,39.9,0
225,49.9,0
226,39.9,0
227,59.9,0
228,39.9,1
229,39.9,1
230,19.9,0
231,79.9,1
232,79.9,0
233,79.95,0
234,109.9,0
235,69.9,1
236,89.9,0
237,19.9,1
238,12.9,0
239,79.9,0
240,199.9,1
241,79.9,0
242,49.9,1
243,39.9,1
244,39.9,1
245,19.9,0
246,19.9,0
247,19.9,0
248,29.9,1
249,19.9,0
250,9.9,1
251,19.9,0
252,39.9,0
253,39.9,0
254,39.9,1
255,39.9,1
256,19.9,1
257,29.9,1
258,9.9,0
259,9.9,0
260,69.9,0
261,119.9,1
262,9.9,0
263,69.9,0
264,69.9,0
265,69.9,0
266,39.95,1
267,39.95,1
268,39.95,0
269,49.9,0
270,24.9,0
271,79.9,0
272,39.9,0
273,39.95,0
274,39.95,1
275,39.95,1
276,39.95,0
277,39.95,0
278,39.95,0
279,79.9,0
280,4.95,0
281,89.9,0
282,9.9,0
283,19.9,0
284,14.9,0
285,189.9,0
286,9.9,0
287,79.9,0
288,79.9,0
289,59.9,0
290,39.9,0
291,99.9,1
292,89.9,1
293,69.9,1
294,69.9,1
295,59.9,1
296,59.9,1
297,59.9,1
298,79.9,1
299,21.9,0
300,21.9,0
301,21.9,0
302,89.9,1
303,79.9,1
304,59.9,1
305,69.9,0
306,59.9,0
307,19.9,0
308,19.9,0
309,39.9,1
310,59.9,1
311,39.9,1
312,39.95,0
313,39.95,1
314,59.9,1
315,59.9,1
316,79.9,1
317,79.9,1
318,69.9,1
319,69.9,1
320,129.9,0
321,39.9,0
322,24.9,1
323,7.9,1
324,7.9,1
325,14.9,1
326,14.9,1
327,14.9,1
328,19.9,1
329,9.9,1
330,9.9,0
331,49.95,1
332,19.9,1
333,19.9,1
334,69.9,0
335,69.9,0
336,39.9,0
337,59.9,0
338,99.9,1
339,49.9,1
340,49.9,1
341,69.9,1
342,69.9,1
343,49.9,0
344,49.9,0
345,24.9,1
346,39.9,1
347,39.9,1
348,49.9,0
349,99.9,0
350,179.9,1
351,34.95,1
352,0,0
353,0,0
354,0,0
355,49.9,1
356,39.9,1
357,139.9,1
358,129.9,0
359,79.9,1
360,24.9,0
361,49.9,0
362,14.9,0
363,49.9,0
364,79.9,0
365,69.9,0
366,39.9,1
367,69.9,0
368,21.9,0
369,21.9,0
370,49.9,1
371,39.9,1
372,12.9,1
373,12.9,1
374,9.9,1
375,9.9,1
376,12.9,0
377,49.9,0
378,19.9,0
379,39.9,0
380,69.9,1
381,69.9,1
382,9.9,0
383,69.9,1
384,29.9,0
385,29.9,0
386,69.9,1
387,49.9,0
388,24.9,1
389,24.9,1
390,13.95,0
391,19.9,0
392,12.9,0
393,12.9,0
394,59.9,1
395,59.9,0
396,89.9,0
397,69.95,1
398,59.9,1
399,59.9,0
400,39.9,1
401,39.9,0
402,59.9,1
403,24.9,0
404,19.9,0
405,9.9,0
406,69.9,1
407,129.9,0
408,29.9,1
409,9.9,1
410,9.9,1
411,29.9,1
412,29.9,1
413,39.9,0
414,69.9,1
415,39.9,1
416,89.9,0
417,59.9,0
418,79.9,1
419,19.9,1
420,59.9,1
421,59.9,1
422,59.9,0
423,59.9,1
424,39.9,1
425,39.9,1
426,79.9,1
427,59.9,0
428,60,1
429,79.9,1
430,129.9,1
431,129.9,1
432,19.9,1
433,59.9,1
434,89.9,1
435,34.9,0
436,19.9,0
437,59.9,0
438,49.9,0
439,90,0
440,89.9,1
441,69.9,0
442,69.9,1
443,49.9,0
444,0,0
445,69.9,0
446,24.9,0
447,39.9,1
448,29.9,0
449,39.9,0
450,89.9,0
451,12.9,1
452,59.9,0
453,59.9,1
454,9.9,0
455,19.9,0
456,19.9,1
457,19.9,0
458,59.9,1
459,59.9,1
460,19.9,0
461,69.9,0
462,39.9,1
463,39.9,1
464,12.9,0
465,9.9,0
466,9.9,0
467,79.9,0
468,59.9,0
469,21.9,1
470,109.9,0
471,21.9,0
472,69.95,1
473,19.95,0
474,89.9,0
475,89.9,0
476,89.9,1
477,69.9,0
478,29.9,1
479,29.9,0
480,39.9,0
481,14.9,0
482,19.9,0
483,69.9,0
484,69.9,1
485,89.9,0
486,29.9,1
487,59.9,1
488,49.9,1
489,19.9,1
490,39.9,0
491,59.9,0
492,79.9,0
493,69.9,0
494,39.9,0
495,69.9,1
496,59.9,0
497,139.9,0
498,119.9,1
499,119.9,1
500,89.9,1
501,79.9,0
502,19.9,0
503,19.9,0
504,79.9,0
505,39.9,0
506,39.9,0
507,39.95,0
508,129.9,0
509,79.9,1
510,79.9,0
511,79.9,1
512,79.9,0
513,79.9,1
514,79.9,0
515,29.9,0
516,29.9,0
517,20,0
518,89.9,1
519,9.9,0
520,49.9,0
521,59.9,0
522,79.9,0
523,49.9,0
524,49.9,0
525,19.9,0
526,39.9,1
527,39.9,0
528,39.9,1
529,39.9,0
530,39.9,1
531,39.9,1
532,59.9,0
533,34.9,1
534,24.9,1
535,24.9,0
536,19.9,0
537,29.9,0
538,29.9,0
539,12.9,0
540,12.9,0
541,19.9,0
542,14.9,0
543,39.9,1
544,39.9,1
545,39.9,1
546,39.9,0
547,59.9,0
548,19.9,1
549,9.9,1
550,9.9,1
551,9.9,1
552,19.9,1
553,19.9,0
554,19.9,1
555,19.9,1
556,19.9,0
557,9.9,0
558,9.9,0
559,69.9,0
560,12.9,1
561,14.9,1
562,14.9,1
563,12.9,1
564,12.9,1
565,29.9,0
566,89.9,1
567,59.9,1
568,59.9,0
569,59.9,0
570,79.9,1
571,89.9,0
572,21.9,0
573,21.9,0
574,89.9,1
575,39.9,0
576,39.9,0
577,39.9,0
578,69.9,1
579,19.9,1
580,19.9,0
581,69.9,1
582,49.9,1
583,49.9,0
584,39.9,0
585,39.9,1
586,39.9,0
587,59.9,0
588,29.9,1
589,29.9,0
590,9.9,1
591,39.9,1
592,0,0
593,89.9,0
594,149.9,0
595,49.95,0
596,9.9,1
597,11.9,0
598,29.9,1
599,9.9,0
600,9.9,0
601,11.9,0
602,0,1
603,59.9,1
604,39.9,1
605,24.9,1
606,39.9,1
607,49.9,1
608,0,1
609,24.9,1
610,0,1
611,29.9,1
612,19.9,1
613,19.9,1
614,19.9,1
615,7.9,1
616,119.9,1
617,7.9,1
618,19.9,1
619,119.9,1
620,7.9,1
621,7.9,1
622,9.9,0
623,69.9,1
624,59.9,0
625,59.9,1
626,19.9,0
627,69.9,1
628,49.95,0
629,19.9,1
630,24.9,1
631,24.9,1
632,19.9,1
633,19.9,1
634,14.9,0
635,49.9,1
636,49.9,1
637,59.9,1
638,39.9,0
639,21.9,0
640,21.9,0
641,69.9,1
642,69.9,0
643,69.9,1
644,39.9,1
645,49.9,1
646,39.9,1
647,39.9,1
648,0,1
649,39.9,1
650,39.9,0
651,0,0
652,69.9,1
653,79.9,0
654,39.9,0
655,59.9,0
656,49.95,0
657,79.9,0
658,79.9,0
659,89.9,0
660,79.9,0
661,24.9,0
662,39.95,0
663,39.95,0
664,99.9,1
665,24.9,1
666,69.9,1
667,59.9,1
668,59.9,0
669,19.9,1
670,79.9,1
671,79.9,1
672,169.9,0
673,79.95,1
674,79.9,0
675,169.9,0
676,59.9,1
677,59.9,1
678,89.9,0
679,69.9,0
680,79.9,0
681,54.95,0
682,9.9,0
683,9.9,0
684,89.9,0
685,69.9,1
686,89.9,1
687,129.9,1
688,119.9,1
689,99.9,1
690,59.9,1
691,59.9,1
692,59.9,1
693,79.9,1
694,59.9,1
695,69.9,1
696,69.9,1
697,79.9,1
